nice_name,question_text,bsa_name,bsa_env_trends,include,is_ordinal,domain,env_var_type,issp_topic,environment_label,economics,actor_detail,valid_range,reverse,name_1993,name_2000,name_2010,name_2020,comments,exclusion_reason,is_climate_change,is_gen_env,indicates_recpt,new_class_comments,original_order,expression_2cat
prepchld,Which of these would you say is more important in preparing children for life? To be obedient or To think for themselves,prepchld,NA,NA,TRUE,culture,,,,,,01:02,FALSE,V4,,,,Question not repeated - no issp topic,,NA,NA,NA,,1,
privent,Private enterprise is the best way to solve [Country's] economic problems,privent,NA,NA,TRUE,economic,,Left-right Dimension,,,,01:05,FALSE,V5,V4,v7,v3,,,NA,NA,NA,,2,
incdiff,It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes,incdiff/govIdif,NA,NA,TRUE,economic,,Left-right Dimension,,,,01:05,TRUE,V6,V5,v8,v4,,,NA,NA,NA,,3,
inglehart1,"Looking at the list below, please tick a box next to the one thing you think should be [Country's] highest priority, the most important thing it should do. [Country] should [1] Maintain order in the nation, [2] Give people more say in government decisions, [3] Fight rising prices, [4] Protect freedom of speech",bpriof1e/brprior1,NA,NA,FALSE,culture,,Postmaterialism,,,,01:04,FALSE,V7,V6,v9,v8,,,NA,NA,NA,,4,
inglehart2,"And which one do you think should be [Country's] next highest priority, the second most important thing it should do? [Country] should [1] Maintain order in the nation, [2] Give people more say in government decisions, [3] Fight rising prices, [4] Protect freedom of speech",bpriof2e/brprior2,NA,NA,FALSE,culture,,Postmaterialism,,,,01:04,FALSE,V8,V7,v10,v9,,,NA,NA,NA,,5,
sciebelf,"We believe too often in science, and not enough in feelings and faith",sciebelf,NA,NA,TRUE,culture,,Attitudes towards Science and Nature,,,,01:05,FALSE,V9,V8,v20,,,,NA,NA,NA,,6,
scieharm,"Overall, modern science does more harm than good",scieharm,NA,NA,TRUE,culture,,Attitudes towards Science and Nature,,,,01:05,FALSE,V10,V9,v21,,,,NA,NA,NA,,7,
changbad,Any change humans cause in nature - no matter how scientific - is likely to make things worse,changbad,FALSE,NA,TRUE,environment,,,,,,01:05,FALSE,V11,,,,Question not repeated - no issp topic,,NA,NA,NA,,8,
sciesolv,Modern science will solve our environmental problems with little change to our way of life,sciesolv,TRUE,TRUE,TRUE,environment,belief,Attitudes towards Science and Nature,environment,none,none,01:05,FALSE,V12,V10,v22,v20,,,FALSE,TRUE,TRUE,Unsure if this really indicates receptiveness to government climate action.,9,cognitive_affective
futenvir,We worry too much about the future of the environment and not enough about prices and jobs today,futenvir,TRUE,TRUE,TRUE,environment,concern,Attitudes towards Science and Nature,environment,prices and jobs,people,01:05,FALSE,V13,V11,v23,v21,"Asks about recession rather than prices and jobs in Japan, 1993",,FALSE,TRUE,TRUE,,10,cognitive_affective
