country,ccode,question93,category93,retrospective93,none93,dk93,question00,category00,none00,dk00,question10,category10,none10,dk10,question20,category20,none20,dk20,use_retro,use_retro_reason
Argentina,AR,,,,,,,,,,"Do you usually think of yourself as close to any particular political party and, if yes, which party is that?",Party support,yes,yes,,,,,,
Australia,AU,"Generally speaking, in federal politics do you usually think of yourself as...?",Party support,Who did you vote for first in the House of Representatives (March the 13th)?,no,no,,,,,"Do you usually think of yourself as close to any particular political party and, if yes, which party is that?",Party support,yes,no,Thinking back to the last general election in May 2019 - Which party did you vote for?,Vote choice (retrospective),yes,yes,no,Party affiliation present
Austria,AT,,,,,,Which political party do you like most or do you prefer?,Party support,yes,no,"In the case of national elections next sunday, which party would you vote for most likely?",Vote choice (prospective),yes,no,Have you participated in the previous Austrian national elections? And would you tell me who you voted for?,Vote choice (retrospective),yes,no,,
Belgium,BE,,,,,,,,,,"On card 76, you can see different political parties. What party has your preference?",Party support,yes,yes,,,,,,
Bulgaria,BG,Political party sympathized to,Party support,,yes,no,Political party sympathized to,Party support,yes,no,no documentation,Vote choice (retrospective),yes,no,,,,,,
Canada,CA,"Generally speaking, in federal politics do you usually think yourself as Progressive Conservative, Liberal, NDP or something else?",Party support,"Just as a reference point, if you managed to vote in the last federal election, could you tell which party you voted for?",yes,no,"Generally speaking, in federal politics do you usually think yourself as...?",Party support,yes,no,no documentation,Party support,no,no,,,,,no,Party support more consistent
Chile,CL,,,,,,Which political Party do you favour?,Party support,yes,yes,"From the following political parties included in this card, with which one do you identify?",Party support,yes,yes,,,,,,
Croatia,HR,,,,,,,,,,"Do you consider yourself as a supporter of a certain political party or option? If yes, which one?",Party support,yes,no,Which political party did you vote for in the last parliamentary elections in July 2020?,Vote choice (retrospective),yes,no,,
Czechia,CZ,,,Can you tell us which political party did you vote for in last year's June election to the Czech National Council?,yes,yes,Can you tell us which political party you would vote for if the elections to the Chamber of Deputies were held next week?,Vote choice (prospective),yes,yes,"Please tell me, according to the card, which party you voted for in the last elections to the Chamber of Deputies, which took place on May 28 and 29, 2010",Vote choice (retrospective),yes,no,,,,,yes,No party affiliation measure
Denmark,DK,,,,,,Vote at the last general election in March 1998,Vote choice (retrospective),yes,yes,"Did you vote in the previous election the 13 November 2007, or were there some reason that you didn't have opportunity to or desire to vote? Which party did you vote for?",Vote choice (retrospective),yes,yes,Think back to the last parliamentary election on 5 June 2019. Which party did you vote for?,Vote choice (retrospective),yes,no,,
Finland,FI,,,,,,Political party preference,Party support,yes,yes,Do you generally think of yourself as close to any political party? Which party?,Party support,yes,no,Which party did you vote for in the 2019 parliamentary election?,Vote choice (retrospective),yes,no,,
France,FR,,,,,,,,,,Can you say to me of which party or political movement you feel the closest or at least the least far away?,Party support,yes,no,For which candidate did you vote in the first round of the 2017's French Presidential Election?,Vote choice (retrospective),yes,no,,
